device_age_days,utility_sms_count,battery_deaths_weekly,saved_contacts_ratio,financial_apps_count,average_monthly_balance,lifetime_emi_bounces,loan_default_status
376,0,0,0.6236,5,1677.74,0,0
510,22,1,0.029,3,5954.2,0,1
330,0,1,0.0484,2,18489.84,2,0
296,0,1,0.4001,2,34635.61,3,1
554,26,1,0.7436,2,7238.82,0,0
315,15,5,0.3068,1,29655.57,0,1
422,17,0,0.2682,2,8167.26,2,1
394,27,0,0.1679,0,464.7,1,0
553,22,0,0.1389,4,1584.52,0,0
259,17,4,0.5133,5,13213.31,0,1
683,21,1,0.1125,2,922.46,1,0
211,28,2,0.3166,6,1632.55,3,0
441,26,0,0.2768,2,1300.34,0,0
406,26,4,0.2282,2,6296.61,2,0
196,19,5,0.4016,3,10767.0,1,1
467,0,2,0.2786,7,1041.19,1,0
274,24,2,0.267,4,20041.27,3,0
146,0,1,0.069,7,8189.84,0,0
507,0,0,0.5574,1,1656.37,2,1
101,0,1,0.223,5,8477.93,0,0
170,0,2,0.1819,0,3264.08,1,0
327,22,0,0.5123,0,3208.79,2,0
551,22,3,0.383,2,1767.79,3,0
487,25,0,0.2638,3,7916.53,0,0
372,32,1,0.4417,1,5983.49,1,0
72,32,1,0.1627,3,5914.53,0,0
203,0,1,0.303,1,6944.75,2,1
240,0,2,0.1309,6,10727.18,0,0
140,22,2,0.3489,1,6359.5,1,1
54,31,0,0.2936,5,744.98,0,0
339,31,2,0.3879,0,7630.35,0,0
497,26,0,0.1423,3,2530.39,1,1
226,20,0,0.0987,2,31114.58,1,1
546,18,1,0.2112,4,13495.82,1,0
90,21,1,0.1702,2,26461.92,0,0
133,0,2,0.277,1,4193.65,1,0
334,34,1,0.1185,5,23561.96,1,0
211,21,1,0.182,3,2108.37,1,1
470,23,2,0.3303,2,7888.93,2,0
419,28,2,0.2801,4,2711.05,0,1
223,32,2,0.0702,3,16527.62,2,1
99,19,0,0.2175,2,63802.03,2,1
203,28,1,0.2621,3,12309.07,1,0
426,0,3,0.0499,3,1344.9,2,0
482,19,1,0.3611,3,3592.78,2,0
211,30,1,0.0392,2,317911.74,1,0
53,20,1,0.1708,3,21644.24,2,0
85,23,3,0.1952,4,3200.79,1,0
402,28,0,0.2079,5,24412.64,0,0
220,30,0,0.7271,5,9390.75,0,0
224,23,1,0.2375,3,189188.27,2,0
131,27,1,0.3114,3,8813.0,5,0
128,35,0,0.1647,4,5961.52,3,0
540,23,0,0.4015,6,7428.81,0,0
412,25,1,0.1595,4,5082.3,0,1
182,0,0,0.768,3,3433.33,0,0
317,27,1,0.2783,1,2100.89,0,0
357,0,2,0.2511,3,4556.77,1,0
847,0,0,0.6934,3,20388.32,1,0
119,24,0,0.0738,7,5954.4,1,0
354,26,0,0.2952,1,4055.93,3,1
538,13,2,0.0707,2,1650.63,1,1
784,20,1,0.4984,2,18869.99,1,0
174,0,1,0.2643,2,55890.96,0,0
218,0,2,0.2813,7,2930.18,1,0
473,0,1,0.3316,8,3771.13,1,0
71,0,0,0.3752,3,2682.29,0,0
378,22,0,0.1685,1,21639.08,2,0
1044,20,0,0.0686,3,28287.27,2,0
406,18,0,0.0808,1,9738.35,0,0
27,0,1,0.3126,3,1946.41,1,0
147,27,1,0.2088,4,12940.91,1,1
179,0,0,0.4469,3,10733.7,0,0
622,24,0,0.2667,3,12092.87,0,0
264,28,0,0.231,4,2313.63,0,0
54,0,1,0.4775,1,2133.56,0,1
287,19,0,0.3974,2,1155.03,0,0
331,37,2,0.3005,1,32308.58,2,0
198,28,2,0.3062,2,33570.15,0,0
126,22,3,0.0696,3,1161.87,2,0
1116,23,2,0.434,3,3110.47,0,0
540,0,3,0.4206,3,3129.37,1,0
572,0,3,0.2537,2,24125.64,1,0
265,29,0,0.4679,4,8990.39,1,0
172,27,3,0.484,1,51573.6,1,1
206,18,0,0.4328,3,5712.58,1,0
90,28,0,0.2393,6,1623.33,1,0
836,30,0,0.355,4,3348.85,0,0
273,22,3,0.2678,2,2718.35,2,1
717,0,3,0.184,2,28624.33,0,0
214,18,1,0.29,3,81404.61,2,0
411,34,0,0.7016,4,14594.5,2,0
344,25,2,0.0534,4,3510.6,0,0
81,26,3,0.3854,3,11024.92,1,1
905,0,0,0.5341,4,1143.45,1,0
219,23,2,0.179,3,6369.94,1,0
109,28,0,0.1055,5,1087.44,1,1
475,0,0,0.1368,0,14431.14,0,1
298,0,0,0.6996,1,6635.69,1,0
385,26,2,0.6094,2,21670.48,1,0
321,21,2,0.3648,2,19737.14,0,1
31,38,0,0.4235,4,4162.27,0,0
143,0,2,0.4458,2,27385.37,2,1
138,33,0,0.1463,2,1957.46,0,0
567,0,1,0.581,0,191451.91,0,0
307,0,2,0.2501,2,1622.32,0,0
428,36,2,0.2067,4,19820.02,0,0
230,29,0,0.2128,5,36035.93,0,0
443,24,2,0.257,2,10058.02,0,1
265,20,2,0.5543,2,2345.58,1,0
250,0,0,0.269,3,3200.19,0,0
342,0,0,0.1035,2,2376.43,0,0
